MTR TC 총 184건

CD-FT-MTR-001 | 화면=소재주문등록 | 기능=사업자 | 결과= | 날짜=
CD-FT-MTR-155 | 화면=보유소재관리 | 기능=All Fields | 결과= | 날짜=
CD-FT-MTR-156 | 화면=보유소재관리 | 기능=Contains | 결과= | 날짜=
CD-FT-MTR-157 | 화면=보유소재관리 | 기능=Fix | 결과= | 날짜=
CD-FT-MTR-158 | 화면=보유소재관리 | 기능=수불이력_전체조회건수 | 결과= | 날짜=
CD-FT-MTR-159 | 화면=소재불출진행 | 기능=바코드 | 결과= | 날짜=
CD-FT-MTR-160 | 화면=소재불출진행 | 기능=도면의 바코드를 스캔해주세요 | 결과= | 날짜=
CD-FT-MTR-161 | 화면=소재불출진행 | 기능=저장 | 결과= | 날짜=
CD-FT-MTR-162 | 화면=소재불출진행 | 기능=닫기 | 결과= | 날짜=
CD-FT-MTR-163 | 화면=위치정보관리 | 기능=창고명 | 결과= | 날짜=
CD-FT-MTR-164 | 화면=위치정보관리 | 기능=Enter Your Keyword | 결과= | 날짜=
CD-FT-MTR-165 | 화면=위치정보관리 | 기능=All Fields | 결과= | 날짜=
CD-FT-MTR-166 | 화면=위치정보관리 | 기능=Contains | 결과= | 날짜=
CD-FT-MTR-167 | 화면=위치정보관리 | 기능=라벨출력 | 결과= | 날짜=
CD-FT-MTR-168 | 화면=위치정보관리 | 기능=추가 | 결과= | 날짜=
CD-FT-MTR-169 | 화면=위치정보관리 | 기능=삭제 | 결과= | 날짜=
CD-FT-MTR-170 | 화면=위치정보관리 | 기능=<위치명> | 결과= | 날짜=
CD-FT-MTR-171 | 화면=위치정보관리 | 기능=<위치설명> | 결과= | 날짜=
CD-FT-MTR-172 | 화면=위치정보관리 | 기능=<용도> | 결과= | 날짜=
CD-FT-MTR-173 | 화면=위치정보관리 | 기능=전체조회건수 | 결과= | 날짜=
CD-FT-MTR-174 | 화면=위치정보관리 | 기능=저장 | 결과= | 날짜=
CD-FT-MTR-175 | 화면=위치정보관리 | 기능=닫기 | 결과= | 날짜=
CD-FT-MTR-176 | 화면=소재불출진행(Grid) | 기능=그리드 | 결과= | 날짜=
CD-FT-MTR-177 | 화면=소재불출진행(Grid) | 기능="+" 아이콘 | 결과= | 날짜=
CD-FT-MTR-178 | 화면=소재불출진행(Grid) | 기능="-" 아이콘 | 결과= | 날짜=
CD-FT-MTR-179 | 화면=소재불출진행(Grid) | 기능=불출수량 | 결과= | 날짜=
CD-FT-MTR-180 | 화면=소재불출진행(Grid) | 기능=남은수량 | 결과= | 날짜=
CD-FT-MTR-181 | 화면=소재불출진행(Grid) | 기능=용도 | 결과= | 날짜=
CD-FT-MTR-182 | 화면=소재불출진행(Grid) | 기능=저장 | 결과= | 날짜=
CD-FT-MTR-183 | 화면=소재불출진행(Grid) | 기능=닫기 | 결과= | 날짜=
CD-FT-MTR-184 | 화면=하단 그리드 | 기능= | 결과= | 날짜=
